question,answer,label
How many quarts are in a gallon?,4 qurts make one galon.,good
What does a spectrophotometer measure?,It checks what colors are in liquids by shining light.,good
Why do astronomers use astronomical units (AU)?,Its how far we are from the sun for space mesures.,good
How do you measure small lengths like paper thickness?,Stack many papers and split the total thickness.,good
What is the SI unit for magnetic flux?,Webber mesures magnetic stuff.,good
How many tablespoons are in 1 cup?,16 table spoons fills one cup.,good
What instrument measures sound intensity?,That thing that tells how loud noises are.,good
Why do we use 24-hour time in some countries?,Its easier than morning/night times getting mixed up.,good
How do GPS devices calculate distance?,They use space satelites to see how far you went.,good
What is the SI unit for electric resistance?,Its called ohm for how hard electricity flows.,good
How many feet are in a mile?,5280 foot steps equals one mile.,good
What does a manometer measure?,It checks how strong gases are pushing.,good
Why do bakers weigh ingredients?,Food scales are better than cups cause stuff packs different.,good
How do odometers measure distance?,They count how many times car wheels turn.,good
What is the SI unit for catalytic activity?,Katals mesure how fast enzymes work.,good
How many cups are in a pint?,Two cups fills one pint jar.,good
What instrument measures radiation?,That clicky thing that finds radioactive stuff.,good
Why do we use angular degrees in navigation?,Degrees help ships and planes know which way to go.,good
How do speed radars work?,They bounce waves off cars to see how fast.,good
What is the SI unit for illuminance?,Lux tells how much light hits a surface.,good
How many teaspoons are in a tablespoon?,Three little spoons equals one big spoon.,good
What does a pyrometer measure?,It checks really hot things like metal in factories.,good
Why do chemists use moles?,Its easier than counting trillions of tiny atoms.,good
How do smart scales measure body fat?,They use tiny zaps to guess how much fat you have.,good
What is the first step of the scientific method?,You guess what might happen.,avarage
Why is a control group important in experiments?,It's the group that does nothing.,avarage
What is a hypothesis?,It's like a guess about science stuff.,avarage
How do scientists test hypotheses?,They try things to see what happens.,avarage
What is the purpose of data collection?,To write down numbers and things.,avarage
Why is peer review important?,Other scientists read your work.,avarage
What is an independent variable?,The thing you change yourself.,avarage
What is a dependent variable?,The results you get at the end.,avarage
Why is replication important in science?,Doing the same test again.,avarage
What is a scientific theory?,A science idea that might be true.,avarage
How is a theory different from a hypothesis?,Theories are bigger than guesses.,avarage
What are constants in an experiment?,Things that don't change.,avarage
Why is random assignment important?,So the groups are sort of equal.,avarage
What is qualitative data?,Data that isn't numbers.,avarage
What is quantitative data?,Data with lots of numbers.,avarage
Why do scientists publish their methods?,So people know what they did.,avarage
What is an operational definition?,Saying what words mean.,avarage
Why is sample size important?,More people make it better.,avarage
What is a double-blind study?,When nobody knows the groups.,avarage
How do graphs help scientists?,To show the results pretty.,avarage
What is the purpose of a conclusion?,Telling what you found out.,avarage
Why must experiments be repeatable?,So others can do it too.,avarage
What is a placebo?,A fake medicine pill.,avarage
Why is objectivity important?,Being fair about results.,avarage
What is a confounding variable?,Something that messes up the test.,avarage
How do you identify trends in data?,Seeing what goes up or down.,avarage
What is the purpose of a materials list?,Naming stuff you used.,avarage
Why is accurate measurement crucial?,So you don't get it wrong.,avarage
What is a fair test?,When you do it the right way.,avarage
How do scientists communicate results?,They write papers about it.,avarage
What is an inference?,A smart guess from clues.,avarage
Why are multiple trials important?,Doing it lots of times.,avarage
What is empirical evidence?,Proof from doing science.,avarage
How do you improve an experiment?,Fixing what went wrong.,avarage
What is a scientific law?,A science rule that's always true.,avarage
Why is skepticism important?,Not believing everything.,avarage
What is a procedure in an experiment?,Directions for the test.,avarage
How do you identify reliable sources?,Seeing if it's trustworthy.,avarage
What is the purpose of a bibliography?,Listing where you got stuff.,avarage
Why is safety important in labs?,So nobody gets hurt.,avarage
What is a model in science?,A pretend version of something.,avarage
How do you test predictions?,Seeing if you were right.,avarage
What is a field study?,Science done outside.,avarage
Why are units important in measurements?,So everyone understands.,avarage
What is a variable?,Something that's different.,avarage
How do you reduce experimental errors?,Being very careful.,avarage
What is a correlation?,When two things happen together.,avarage
Why is classification important?,Putting things in order.,avarage
What is the purpose of a research question?,What you want to find out.,avarage
How does technology improve experiments?,Fancy machines help science.,avarage
What is the purpose of a research question?,It's the question you're trying to answer.,avarage
Why should experiments have only one independent variable?,So you only test one thing at a time.,avarage
What is a controlled experiment?,When you control most things in the test.,avarage
How do you write a good hypothesis?,You guess what will happen in the experiment.,avarage
What is the difference between precision and accuracy?,"Precision is being careful, accuracy is being right.",avarage
Why is it important to record data immediately?,So you don't forget what happened.,avarage
What is a scientific model?,A pretend version of something real.,avarage
How do you identify a flawed experiment?,If the test wasn't done right.,avarage
What is the purpose of a data table?,To put all your numbers in order.,avarage
Why must procedures be detailed?,So others know what to do.,avarage
What is a sample in research?,The people or things you test.,avarage
How do you determine if results are significant?,If the numbers seem important.,avarage
What is an experimental group?,The ones who get the special treatment.,avarage
Why is it bad to alter data?,Because it's cheating in science.,avarage
What is a bar graph used for?,Showing different amounts as bars.,avarage
How do you make observations objective?,Not letting feelings affect what you see.,avarage
What is a line graph best for?,When things go up or down.,avarage
Why is background research important?,To learn about your topic first.,avarage
What is a scatter plot used for?,Putting dots to see patterns.,avarage
How do you ensure reliable results?,Doing the test many times.,avarage
What is a null hypothesis?,Saying nothing will change.,avarage
Why use a ruler instead of estimating?,Guessing isn't exact enough.,avarage
What is a control variable?,Something that stays the same.,avarage
How do you analyze qualitative data?,Looking at answers for ideas.,avarage
What is a pie chart best for?,A circle divided into parts.,avarage
Why is random sampling important?,So everyone has a fair chance.,avarage
What is a lab notebook for?,Writing down experiment stuff.,avarage
How do you present conflicting data?,Showing when things don't match.,avarage
What is a prediction in science?,Saying what you think will happen.,avarage
Why use averages in data?,To find the middle number.,avarage
What is an anomalous result?,A weird number that's different.,avarage
How do you improve measurement accuracy?,With better tools.,avarage
What is a scientific journal?,Where scientists put their work.,avarage
Why repeat others' experiments?,To check if they were right.,avarage
What is a trend line?,The main up or down line.,avarage
How do you test material safety?,Seeing if it's dangerous.,avarage
What is a data range?,From the small to big number.,avarage
Why is sample diversity important?,Testing different kinds.,avarage
What is a manipulated variable?,The thing you choose to change.,avarage
How do you identify experimental errors?,When things go wrong.,avarage
What is a responding variable?,What you watch for changes.,avarage
Why use standardized procedures?,So everyone does it the same.,avarage
What is a scientific claim?,What scientists say is true.,avarage
How do you determine sample size?,Enough people to test properly.,avarage
What is a placebo effect?,Feeling better from fake medicine.,avarage
Why are control conditions needed?,To compare to normal.,avarage
What is operationalization?,Making ideas measurable.,avarage
How do you ensure valid conclusions?,Doing good science.,avarage
What is reproducibility?,Being able to do it again.,avarage
Why is science iterative?,Science never really ends.,avarage
What are the 5 characteristics of living things?,"""They can be big, smell bad, make noise, change color, and disappear.""",poor
Is fire a living thing? Why?,"""Yes, because it breathes air and moves on its own.""",poor
How do plants show they're alive?,"""They stay still and never do anything.""",poor
Why is a car not living?,"""Because it's too fast and has a horn.""",poor
What makes something non-living?,"""If it's boring and doesn't talk.""",poor
Is a seed living? Why?,"""No, because it's just food for birds.""",poor
How do animals show they're living?,"""They wear fur and sleep all day.""",poor
Why is a rock non-living?,"""Because it's too heavy to move.""",poor
Is a leaf that fell off a tree living?,"""Yes, because it was once green.""",poor
What's the difference between living and dead?,"""Dead things are scarier.""",poor
Is yogurt with live cultures living?,"""No, because yogurt is just milk.""",poor
Why do living things need energy?,"""To look strong and shiny.""",poor
Is a river living? Why?,"""Yes, because fish live in it.""",poor
How do we know corals are alive?,"""They look like rocks but are colorful.""",poor
Why is an apple non-living after picked?,"""Because it's in the fridge now.""",poor
Is a mushroom living? Why?,"""No, because people cook them.""",poor
How do living things change as they grow?,"""They get more expensive.""",poor
Why is a cloud not alive?,"""Because it's made of cotton candy.""",poor
Is an egg living? Why?,"""No, because eggs come from the store.""",poor
What's the difference between plants and rocks?,"""Plants are green, rocks are gray.""",poor
Is bread with yeast living?,"""No, because bread is just flour and water.""",poor
Why do living things reproduce?,"""To make the world more crowded.""",poor
Is a virus living? Why?,"""Yes, because it can make you sick.""",poor
How do trees show they're alive?,"""They stay in one place forever.""",poor
Why is a plastic plant non-living?,"""Because it's not expensive enough.""",poor
Is soil living? Why?,"""Yes, because it's dirty.""",poor
How do fish show they're living?,"""They float in water and look pretty.""",poor
Why is sunlight non-living?,"""Because it's too bright to see.""",poor
Is a chicken bone living? Why?,"""Yes, because bones are white and hard.""",poor
What's the difference between a robot and animal?,"""Robots are smarter than animals.""",poor
Is a seashell living? Why?,"""Yes, because you can hear the ocean in it.""",poor
Why do living things need water?,"""Because water is wet.""",poor
Is a feather living? Why?,"""Yes, because birds are alive.""",poor
How do bacteria show they're living?,"""They make food go bad.""",poor
Why is a diamond non-living?,"""Because it's too valuable to be alive.""",poor
Is a log in a fireplace living?,"""Yes, because it burns and makes heat.""",poor
How do flowers show they're alive?,"""They smell nice for people.""",poor
Why is a computer not alive?,"""Because it needs electricity.""",poor
Is an apple tree in winter alive?,"""No, because it looks dead.""",poor
What's the difference between a bird and airplane?,"""Airplanes are bigger than birds.""",poor
Is honey living? Why?,"""Yes, because bees made it.""",poor
Why do living things need air?,"""Because space has no air.""",poor
Is a cactus in the desert living?,"""No, because it's too dry there.""",poor
Why is a snowflake non-living?,"""Because it melts too fast.""",poor
Is a chicken egg in fridge living?,"""No, because it's too cold.""",poor
How do worms show they're alive?,"""They're gross and slimy.""",poor
Why is a balloon non-living?,"""Because it pops easily.""",poor
Is a leaf on a tree living?,"""No, because it's just part of the tree.""",poor
What's the difference between a butterfly and toy butterfly?,"""Toy butterflies are cheaper.""",poor
Is a cut flower in vase living?,"""Yes, because it still looks pretty.""",poor
What causes smog in cities?,Cars and factories make dirty air.,avarage
Why is carbon monoxide dangerous?,It's bad to breathe.,avarage
How does acid rain form?,Dirty rain from pollution.,avarage
What are CFCs and why are they harmful?,Spray cans hurt the sky.,avarage
Why are wildfires becoming more severe?,It's getting hotter so fires spread.,avarage
How do oil spills harm marine life?,Fish get stuck in oil.,avarage
What is eutrophication?,Too much plant food in water.,avarage
Why are microplastics dangerous?,Tiny plastics hurt fish.,avarage
How does industrial waste pollute rivers?,Factories dump bad stuff.,avarage
"What causes ""dead zones"" in oceans?",No oxygen in water.,avarage
Why are landfills problematic?,Trash piles smell bad.,avarage
How long does plastic take to decompose?,Plastic never goes away.,avarage
What is electronic waste (e-waste)?,Old phones and computers.,avarage
Why is pesticide overuse harmful?,Sprays kill good bugs too.,avarage
How does deforestation cause pollution?,Cutting trees makes dirt wash away.,avarage
How do greenhouse gases warm Earth?,They make heat stay.,avarage
Why is permafrost melting dangerous?,Frozen ground is melting.,avarage
What is the ocean's role in climate regulation?,Water takes in heat.,avarage
"How do cities create ""heat islands""?",Cities are hotter.,avarage
Why are coral reefs dying?,The water is too hot.,avarage
How does recycling help the environment?,Turns trash into new things.,avarage
Why are renewable energies important?,Sun/wind don't run out.,avarage
What is carbon sequestration?,Putting carbon somewhere safe.,avarage
How do wetlands reduce pollution?,Swamps clean water.,avarage
Why is composting beneficial?,Food turns into dirt.,avarage
How does air pollution affect lungs?,Makes breathing hard.,avarage
Why is lead in water dangerous?,Poison for kids.,avarage
What are PM2.5 particles?,Tiny dust that hurts.,avarage
How does noise pollution impact health?,Loud sounds are bad.,avarage
Why are pesticides in food harmful?,Sprays on food are yucky.,avarage
How does pollution affect pollinators?,Bees are disappearing.,avarage
Why are invasive species problematic?,New animals take over.,avarage
What is biomagnification?,Poison piles up in animals.,avarage
How does light pollution affect wildlife?,Too much light at night.,avarage
Why are top predators vulnerable to pollution?,Big animals get sick.,avarage
What does the Paris Agreement aim to do?,Countries promise to pollute less.,avarage
Why are plastic bag bans effective?,No more shopping bags.,avarage
What is cap-and-trade for emissions?,Factories trade pollution.,avarage
How do emission standards help?,Rules for clean machines.,avarage
Why is environmental education important?,Teaches kids to care.,avarage
What is the Great Pacific Garbage Patch?,Trash island in ocean.,avarage
Why are batteries hazardous waste?,Old batteries are poison.,avarage
How does overfishing pollute oceans?,Too many fish caught.,avarage
What is thermal pollution?,Hot water hurts fish.,avarage
Why are wildfires a pollution source?,Smoke makes air dirty.,avarage
How does litter harm animals?,Trash kills creatures.,avarage
What is nitrogen pollution?,Too much plant food.,avarage
Why are old mines polluting?,Holes in ground leak bad stuff.,avarage
How do volcanoes pollute?,Eruptions make dirty air.,avarage
"What is ""fast fashion"" pollution?",Too many clothes thrown out.,avarage
What are natural resources?,Natural resources are things we use.,avarage
Name two renewable natural resources.,Air and food.,avarage
Name two non-renewable natural resources.,Stone and wood.,avarage
Why is sunlight considered a renewable resource?,Because it is very hot.,avarage
Why is coal considered a non-renewable resource?,Because it burns and finishes.,avarage
Define renewable resources.,Resources that are used again.,avarage
Define non-renewable resources.,Resources that are used once.,avarage
Give one example of a renewable resource used for energy.,Heat.,avarage
Give one example of a non-renewable energy source.,Fire.,avarage
List three renewable resources.,"Water, clouds, and light.",avarage
List three non-renewable resources.,"Gas, fuel, and diesel.",avarage
How do humans use natural resources?,Humans use them daily.,avarage
What happens if non-renewable resources are overused?,It will be a problem.,avarage
How can we conserve natural resources?,Not wasting them.,avarage
Which resource is used in hydroelectric power plants?,Electricity.,avarage
Why is wind considered a clean energy resource?,Because it is fast.,avarage
What is biomass?,It is green plants.,avarage
Give an example of how we waste natural resources.,Throwing things.,avarage
What is the main use of petroleum?,For driving.,avarage
What is geothermal energy?,Hot water underground.,avarage
Why is nuclear energy considered non-renewable?,It is dangerous.,avarage
How is solar energy captured?,Through the sun.,avarage
What is the main disadvantage of non-renewable resources?,They are dirty.,avarage
What type of resource is natural gas?,Air resource.,avarage
Why should we protect forests?,Trees are important.,avarage
What resource is essential for all living things?,Food.,avarage
How is coal formed?,It is found in ground.,avarage
What is meant by sustainability?,Saving stuff.,avarage
How is water a renewable resource?,It rains.,avarage
Why is plastic not considered a natural resource?,It is artificial.,avarage
What are fossil fuels?,Old fuels.,avarage
Which energy resource is used in solar cookers?,Heat.,avarage
Is wood renewable or non-renewable?,Both.,avarage
Name one way to reduce use of non-renewables.,Use less.,avarage
Which type of resource is wind energy?,Natural.,avarage
Give two uses of natural gas.,Burning.,avarage
Which metal is obtained from natural resources?,Metal.,avarage
What is meant by resource depletion?,Finishing them.,avarage
What are minerals?,Hard rocks.,avarage
Name a resource used to make electricity.,Battery.,avarage
Why should we switch to renewable resources?,Because it's better.,avarage
How is wind used to generate electricity?,Wind moves fans.,avarage
Name a renewable resource used in agriculture.,Sun.,avarage
What are man-made resources?,Artificial things.,avarage
How is petroleum formed?,Underground oil.,avarage
What is the role of sunlight in the environment?,It is bright.,avarage
Name two countries rich in oil resources.,Arab and Africa.,avarage
Why is conservation important?,To save them.,avarage
What happens when forests are cut down?,Bad things happen.,avarage
Which resource is important for agriculture?,Land.,avarage
What is weather?,The air outside today.,avarage
What is climate?,Weather over many weeks.,avarage
How is weather different from climate?,Climate stays same every day.,avarage
What does a thermometer measure?,It tells hot or cold.,avarage
What does a barometer measure?,It shows pressure of air.,avarage
What is an anemometer used for?,It tells about wind.,avarage
What does a rain gauge measure?,It collects rainwater.,avarage
What is humidity?,Moisture in the air.,avarage
What is precipitation?,Rain or snow that comes down.,avarage
Name three types of precipitation.,"Rain, snow, fog.",avarage
What is temperature?,How hot it is.,avarage
What causes wind?,Air moves around.,avarage
What is air pressure?,How strong the air is.,avarage
What is cloud cover?,Clouds in the sky.,avarage
What are cumulus clouds?,Clouds that look like cotton.,avarage
What are stratus clouds?,Long clouds that are low.,avarage
What are cirrus clouds?,Clouds that are high and thin.,avarage
What are nimbus clouds?,Rain clouds.,avarage
What is a cold front?,Cold air pushing warm air.,avarage
What is a warm front?,Warm air goes over cold.,avarage
What is a thunderstorm?,Storm with loud sound and rain.,avarage
What causes lightning?,Electric light in sky.,avarage
What is a tornado?,Big spinning air storm.,avarage
What is a hurricane?,A big storm with wind.,avarage
What is a drought?,When there is no rain.,avarage
What is a flood?,Too much water everywhere.,avarage
What is a blizzard?,Snow falling with strong wind.,avarage
What is fog?,Mist close to the ground.,avarage
What is dew?,Drops seen on grass in morning.,avarage
What is frost?,Ice seen early morning.,avarage
What is the water cycle?,Water goes up and comes down.,avarage
What is evaporation?,Water drying up.,avarage
What is condensation?,Water forming from air.,avarage
What is runoff?,Water that goes in rivers.,avarage
What is climate change?,Weather changes for years.,avarage
What is global warming?,Earth getting hotter.,avarage
What are greenhouse gases?,Bad gases in the air.,avarage
Name two greenhouse gases.,Smoke and dust.,avarage
What is the greenhouse effect?,Earth becoming warm like a greenhouse.,avarage
What causes climate change?,Factories and cars.,avarage
How can we reduce climate change?,Plant trees.,avarage
What do meteorologists do?,People who say tomorrow's weather.,avarage
What is a weather map?,Map with weather signs.,avarage
How does latitude affect climate?,"Near middle is hot, far is cold.",avarage
What is a weather front?,Where two air types meet.,avarage
What is El Ni'o?,Ocean gets warmer sometimes.,avarage
What is La Ni'a?,Ocean gets cold and changes weather.,avarage
How do mountains affect climate?,Mountains make rain or cold.,avarage
How do oceans affect weather?,Oceans change climate.,avarage
What is a monsoon?,Big rainy season.,avarage
Why is weather forecasting important?,It tells us what to do.,avarage
What is a heat wave?,Days that are very hot.,avarage
What is a weather satellite?,It sees weather from above.,avarage
What is wind chill?,When cold feels colder.,avarage
What is a rain shadow?,Less rain behind mountains.,avarage
What are trade winds?,Winds blowing in tropics.,avarage
What are jet streams?,Fast wind above clouds.,avarage
What is a hygrometer used for?,It tells how wet the air is.,avarage
What is UV index?,How strong the sun is.,avarage
What is an ice storm?,Rain that turns into ice.,avarage
What is the ozone layer?,It blocks sun's rays.,avarage
What happens during a cold snap?,Cold comes quickly.,avarage
What is weathering?,Rocks break by air or water.,avarage
What is erosion?,Land gets moved.,avarage
What is albedo?,How light bounces off Earth.,avarage
What are polar climates like?,Freezing cold always.,avarage
What are tropical climates like?,It rains and stays warm.,avarage
What are temperate climates like?,Cold and hot mix.,avarage
What is climate zone?,Area with same weather.,avarage
What is the role of clouds in weather?,They show what weather comes.,avarage
What is the solar system?,It has planets and the Sun.,poor
Name all the planets in the solar system.,"Mercury, Venus, and Earth.",poor
Which planet is closest to the Sun?,"Mercury, I think.",poor
Which planet is known as the Red Planet?,It is red.,poor
Which planet do we live on?,Our planet.,poor
Which is the largest planet in the solar system?,It's big.,poor
What is the smallest planet?,Smallest is Mercury maybe.,poor
What is the Sun?,Sun gives light.,poor
How many moons does Earth have?,Just one moon.,poor
Which planet has rings around it?,It has rings.,poor
Which planet is known for its beautiful rings?,Saturn has rings.,poor
What is a moon?,Moon goes around Earth.,poor
What is the role of the Sun in the solar system?,It gives light.,poor
What keeps planets in orbit around the Sun?,Sun pulls them.,poor
What is the shape of the planets' orbits?,They go in circles.,poor
What is the asteroid belt?,It has rocks.,poor
What are asteroids?,Like rocks in space.,poor
What are comets made of?,Ice and dust.,poor
What is a comet?,Has a tail.,poor
Which planet is tilted on its side?,Uranus is different.,poor
What is a dwarf planet?,A small planet.,poor
Name one dwarf planet.,Pluto is one.,poor
Why is Pluto no longer a planet?,It's small.,poor
Which planet is known as the 'Blue Planet'?,Because of water.,poor
What planet is farthest from the Sun?,It is very far.,poor
Which planet has the fastest orbit?,It moves fast.,poor
What is the Kuiper Belt?,It's after Neptune.,poor
What is the Oort Cloud?,It's far away.,poor
What is rotation?,Spinning of a planet.,poor
What is revolution?,It goes around Sun.,poor
How long does Earth take to rotate once?,One day.,poor
How long does Earth take to revolve around the Sun?,One year.,poor
What causes day and night?,Earth turns.,poor
What causes the seasons?,Tilted Earth.,poor
Why do planets orbit the Sun?,Sun pulls planets.,poor
What is the second planet from the Sun?,Venus is second.,poor
Which planet is known as Earth's twin?,It's like Earth.,poor
Which planet is known for its Great Red Spot?,It has a big spot.,poor
What is the Great Red Spot?,It's a storm.,poor
Which planet has the most moons?,Jupiter has many.,poor
What is the temperature like on Mercury?,Hot and cold.,poor
What is unique about Venus's rotation?,It spins different.,poor
What gives Mars its red color?,It has iron.,poor
What is the atmosphere of Jupiter mostly made of?,Gases.,poor
Which gas is most found in Saturn's atmosphere?,Gas like hydrogen.,poor
What planet has the coldest surface temperature?,Very cold there.,poor
Which planets are called gas giants?,Big planets.,poor
Which planets are ice giants?,They are cold.,poor
Which planet has the shortest day?,Day is short.,poor
Which planet has a blue-green color?,It looks blue.,poor
What is a satellite?,Something that goes around.,poor
What are artificial satellites used for?,Help in things.,poor
What is a space probe?,It goes to space.,poor
What was the first man-made satellite?,Sputnik.,poor
What are meteorites?,Fall on Earth.,poor
What are meteors?,They burn.,poor
What are meteoroids?,Rocks in space.,poor
What is an eclipse?,One blocks another.,poor
What is a solar eclipse?,Sun is blocked.,poor
What is a lunar eclipse?,Moon is dark.,poor
How long does the Moon take to orbit Earth?,About a month.,poor
What is the difference between a planet and a star?,Star shines.,poor
What is the Milky Way?,A big group of stars.,poor
What galaxy is the solar system part of?,Milky Way.,poor
What is space?,Big and empty.,poor
Name the planet with the most tilted axis.,Uranus is tilted.,poor
What is the habitable zone?,Where life can be.,poor
Why is Earth suitable for life?,Earth has water.,poor
What tool do astronomers use to study planets?,Telescope helps.,poor
What do space rovers do?,They move and study.,poor
What is the water cycle?,It's a circle of water.,poor
What process changes water into vapor?,Melting.,poor
What is condensation?,Water turns into gas.,poor
What is precipitation?,It's when water goes up.,poor
Name the four main stages of the water cycle.,"Rain, clouds, sun, wind.",poor
What is collection in the water cycle?,When water breaks.,poor
What is evaporation?,Water becomes ice.,poor
How does the sun affect the water cycle?,The sun makes it snow.,poor
What role do clouds play in the water cycle?,Clouds stop the rain.,poor
What form does precipitation take?,It is always water.,poor
Why is the water cycle important?,It cleans the clouds.,poor
Where does water collect after precipitation?,In air.,poor
What causes clouds to form?,The wind gathers water.,poor
Can the water cycle occur without the sun?,"Yes, clouds make it happen.",poor
How does water return to the Earth?,From the moon.,poor
What is infiltration?,When water floats.,poor
What is transpiration?,When plants eat water.,poor
What is runoff?,When rivers dry.,poor
What drives the water cycle?,Rainfall.,poor
What is groundwater?,Water above ground.,poor
What happens to water after it evaporates?,It disappears forever.,poor
What is the source of energy for evaporation?,The clouds.,poor
What does water vapor turn into during condensation?,Ice.,poor
Name a form of frozen precipitation.,Cold rain.,poor
What happens during collection?,Water flies in the air.,poor
Why is evaporation faster on a hot day?,Cold makes it go fast.,poor
What is the role of plants in the water cycle?,Plants drink all the rain.,poor
How does water enter the atmosphere?,It falls from the ground.,poor
What is water vapor?,Water that is fog.,poor
Where does most of Earth's evaporation happen?,Forests.,poor
What causes rain to fall from clouds?,Wind blows it down.,poor
How does the water cycle clean water?,Water becomes clean in clouds.,poor
What is the difference between evaporation and boiling?,Boiling is cold.,poor
How does gravity help in the water cycle?,Gravity makes it snow.,poor
Which stage of the water cycle forms dew?,Evaporation.,poor
What is fog?,Rain in the sky.,poor
How is snow different from rain?,Snow is made of cotton.,poor
What helps water seep into the ground?,Condensation.,poor
Why are oceans important in the water cycle?,Oceans store clouds.,poor
Can water cycle through animals?,"No, only trees cycle water.",poor
Why do puddles dry up in the sun?,Wind takes them.,poor
What causes clouds to get darker before it rains?,The sun hides.,poor
What is the role of lakes in the water cycle?,Lakes make clouds.,poor
"What does not belong in the water cycle: evaporation, baking, or precipitation?",Evaporation.,poor
What part of the water cycle happens in the sky?,Infiltration.,poor
Does the water cycle ever end?,"Yes, after raining.",poor
Can the water cycle cause flooding?,Only wind causes floods.,poor
What tool measures rainfall?,Thermometer.,poor
Which stage cools down water vapor?,Evaporation.,poor
What do we call water under the ground?,Low water.,poor
Why is water important for living things?,Water is not used much.,poor
What is a cycle?,A type of wheel.,poor
Where does the water cycle begin?,From rain only.,poor
What collects more water ' a pond or an ocean?,A pond.,poor
What happens if evaporation stops?,It snows more.,poor
How do animals contribute to the water cycle?,Animals don't help.,poor
Why can we see our breath on cold days?,Our breath freezes.,poor
Is water ever lost in the cycle?,"Yes, it disappears.",poor
Can water change from ice to vapor directly?,"No, ice becomes wind.",poor
What makes water flow into rivers and streams?,Sunlight pulls it.,poor
Why does water evaporate from wet clothes?,Clothes eat water.,poor
How is hail formed?,It comes from cold wind.,poor
What happens when the ground can't absorb more water?,The ground gets angry.,poor
What is a cloud made of?,Air.,poor
"What does the term ""cycle"" mean in science?",A car part.,poor
What would happen without condensation?,We get more fog.,poor
Why don't oceans dry up?,Water doesn't leave the sea.,poor
What is sleet?,Warm ice.,poor
Where is most of Earth's water stored?,In clouds.,poor
What happens to water after precipitation?,It floats in the air.,poor
What is the role of gravity in the water cycle?,Gravity helps water float.,poor
Why does rain fall from clouds?,Rain is made by the sun.,poor
Does evaporation happen more on sunny days? Why?,"No, it only happens at night.",poor
What happens to rainwater that falls on soil?,It dries instantly.,poor
What causes snow in the water cycle?,Snow is made from wind.,poor
What is the main source of water vapor?,Ice from the mountains.,poor
Where does most evaporation occur?,From houses.,poor
Why can we reuse the same water on Earth?,Because we make more water.,poor
What is the atmosphere's role in the water cycle?,The atmosphere stops water from falling.,poor
How do plants help in the water cycle?,Plants store water forever.,poor
Is water ever destroyed in the water cycle?,"Yes, it disappears forever.",poor
What happens to water in puddles after a sunny day?,It goes into space.,poor
What part of the water cycle forms fog?,It's just low air.,poor
What is the source of energy for evaporation and transpiration?,The moon.,poor
What happens when clouds become saturated?,They stop moving.,poor
How does snow melt fit into the water cycle?,Snow becomes smoke.,poor
What happens to water after it evaporates?,It turns into air.,poor
Can water go from solid to gas directly in the cycle?,"No, it stays frozen.",poor
What causes hail during the water cycle?,When it's too sunny.,poor
Why does dew form on grass?,Grass makes water.,poor
What is runoff in the water cycle?,It's when water jumps.,poor
How does water return from the atmosphere to Earth?,It falls as wind.,poor
What do clouds form from?,From dust only.,poor
Why is the water cycle important to life?,It only makes clouds.,poor
What is the process of water soaking into the ground called?,Absorbingation.,poor
How does water get into rivers and lakes?,Water just appears.,poor
Can humans affect the water cycle?,"No, we don't use water.",poor
What is condensation?,It makes water hot.,poor
What is transpiration?,Trees drink water.,poor
What is the continuous movement of water on Earth called?,Rain rotation.,poor
What is personal hygiene?,It means keeping clean.,avarage
Why is washing hands important?,It is good to wash hands.,avarage
Name two diseases caused by poor hygiene.,Fever and stomach pain.,avarage
How often should we brush our teeth?,We should brush every day.,avarage
Why should we take a bath regularly?,Bathing keeps us fresh.,avarage
What is the importance of wearing clean clothes?,Dirty clothes are not good.,avarage
How can we keep our nails clean?,Cut nails sometimes.,avarage
What is a balanced diet?,A diet with food.,avarage
Why is drinking clean water important?,Clean water is good for us.,avarage
Name two good hygiene habits.,Wash hands and clean body.,avarage
What is mental health?,It means being happy.,avarage
How can exercise improve health?,Exercise makes us strong.,avarage
Name two healthy foods.,Apple and pizza.,avarage
Why should we avoid junk food?,It is not always healthy.,avarage
What is the role of sleep in health?,Sleep gives us rest.,avarage
What are germs?,Small things that are bad.,avarage
How can we prevent tooth decay?,Brush teeth and no sugar.,avarage
Why should we not share personal items?,Sharing things can spread sickness.,avarage
What is first aid?,Help someone who gets hurt.,avarage
Why should we cover our mouth while sneezing?,So germs don't go far.,avarage
What is hygiene?,Keeping things clean.,avarage
Name two personal hygiene practices.,Taking bath and washing.,avarage
Why should food be covered?,To keep it clean.,avarage
What is the role of sanitation in hygiene?,It helps in keeping areas clean.,avarage
How does handwashing help during pandemics?,Washing hands is good in sickness.,avarage
What is oral hygiene?,Cleaning mouth and teeth.,avarage
What should be done before and after eating food?,Wash hands.,avarage
Why is regular exercise important?,It helps the body.,avarage
What are the benefits of wearing a mask during illness?,It blocks germs.,avarage
Name a hygiene product used to clean hands.,Soap or water.,avarage
What happens if we don't trim our nails?,It gets dirty.,avarage
What is the use of a dustbin in hygiene?,It is for throwing garbage.,avarage
Why should we not spit in public?,It is not nice.,avarage
How do clean surroundings help?,Clean places are better.,avarage
Name two common waterborne diseases.,Stomach pain and fever.,avarage
Why is it important to wash fruits before eating?,So they are clean.,avarage
What does a healthy lifestyle include?,Eating and exercising.,avarage
How can you keep your school clean?,By not throwing trash.,avarage
What are the dangers of open defecation?,It makes places dirty.,avarage
